dealer_id,plant_id,brand_name,model_id,vin,data_collection_status,vin_last_8,prefix,model_name,model_year,build_date,sold_date,plant_name,dealer_name,dealer_country
dealer_1,plant_25769803777,StarCars,StarCars / StarCars Eclipse / 2020,JOCRML1XXCLD7VLD,Registered,XCLD7VLD,XC,StarCars Eclipse,2020,29/11/2020,17/03/2022,StarCars Celestial Assembly,StarCars Stellar Auto,UK
dealer_0,plant_25769803776,StarCars,StarCars / StarCars Meteor / 2018,MDPL4PETMX6SXNBH,Registered,MX6SXNBH,MX,StarCars Meteor,2018,10/11/2018,12/10/2021,StarCars Stellar Factory,StarCars Galaxy Motors,DE
dealer_8589934593,plant_25769803776,StarCars,StarCars / StarCars Supernova / 2018,J1JUMJ1OF02VNPIB,Not registered,F02VNPIB,F0,StarCars Supernova,2018,13/03/2018,19/06/2018,StarCars Stellar Factory,StarCars Nebula Motors,AT
dealer_8589934594,plant_17179869184,StarCars,StarCars / StarCars Nebula / 2019,OJ7PUCVBDMSRUVDM,Not registered,DMSRUVDM,DM,StarCars Nebula,2019,06/01/2019,03/01/2021,StarCars Orion Manufacturing,StarCars Orion Auto,CH
dealer_8589934593,plant_1,StarCars,StarCars / StarCars Meteor / 2018,WTK8BEQH5AO8QKRU,Not registered,5AO8QKRU,5A,StarCars Meteor,2018,04/07/2018,19/05/2019,StarCars Comet Factory,StarCars Nebula Motors,AT
dealer_8589934593,plant_17179869185,StarCars,StarCars / StarCars Andromeda / 2019,VCWK7GYLTYEMKTWW,Not registered,TYEMKTWW,TY,StarCars Andromeda,2019,21/12/2019,08/05/2022,StarCars Nebula Plant,StarCars Nebula Motors,AT
dealer_1,plant_17179869184,StarCars,StarCars / StarCars Milky Way / 2020,WD43LSTRT44A8X7G,Registered,T44A8X7G,T4,StarCars Milky Way,2020,20/09/2020,27/04/2021,StarCars Orion Manufacturing,StarCars Stellar Auto,UK
dealer_8589934594,plant_0,StarCars,StarCars / StarCars Milky Way / 2019,33N2RF2DB3YZI1GJ,Not registered,B3YZI1GJ,B3,StarCars Milky Way,2019,18/10/2019,04/02/2022,StarCars Nova Plant,StarCars Orion Auto,CH
dealer_0,plant_25769803776,StarCars,StarCars / StarCars Comet / 2019,EI5LWHEBG9RFII9U,Registered,G9RFII9U,G9,StarCars Comet,2019,12/02/2019,01/07/2023,StarCars Stellar Factory,StarCars Galaxy Motors,DE
dealer_0,plant_0,StarCars,StarCars / StarCars Lunar / 2020,IW48VITQBUSCXWWI,Not registered,BUSCXWWI,BU,StarCars Lunar,2020,10/07/2020,10/03/2021,StarCars Nova Plant,StarCars Galaxy Motors,DE
dealer_0,plant_8589934593,StarCars,StarCars / StarCars Eclipse / 2018,9M6HOJRNTPOABZSQ,Registered,TPOABZSQ,TP,StarCars Eclipse,2018,20/09/2018,26/06/2023,StarCars Galaxy Works,StarCars Galaxy Motors,DE
dealer_8589934594,plant_25769803777,StarCars,StarCars / StarCars Lunar / 2019,GB8T1A39AYCNBGJK,Not registered,AYCNBGJK,AY,StarCars Lunar,2019,23/10/2019,23/03/2019,StarCars Celestial Assembly,StarCars Orion Auto,CH
dealer_0,plant_8589934593,StarCars,StarCars / StarCars Eclipse / 2020,OD2YJPIV9A65PF8C,Not registered,9A65PF8C,9A,StarCars Eclipse,2020,07/06/2020,16/12/2021,StarCars Galaxy Works,StarCars Galaxy Motors,DE
dealer_8589934592,plant_17179869184,StarCars,StarCars / StarCars Comet / 2020,KDLTKIN4BLXX0TLU,Registered,BLXX0TLU,BL,StarCars Comet,2020,29/03/2020,23/06/2021,StarCars Orion Manufacturing,StarCars Cosmic Cars,CA
dealer_0,plant_25769803777,StarCars,StarCars / StarCars Milky Way / 2018,XH20MIBIDJ0XPIMG,Registered,DJ0XPIMG,DJ,StarCars Milky Way,2018,07/03/2018,04/09/2019,StarCars Celestial Assembly,StarCars Galaxy Motors,DE
dealer_8589934594,plant_17179869184,StarCars,StarCars / StarCars Eclipse / 2019,3SVOIGW5J9W71LQP,Registered,J9W71LQP,J9,StarCars Eclipse,2019,23/01/2019,19/02/2021,StarCars Orion Manufacturing,StarCars Orion Auto,CH
dealer_1,plant_8589934593,StarCars,StarCars / StarCars Milky Way / 2020,3TN4UF1LGOXE4ZUJ,Not registered,GOXE4ZUJ,GO,StarCars Milky Way,2020,07/11/2020,13/06/2021,StarCars Galaxy Works,StarCars Stellar Auto,UK
dealer_0,plant_17179869185,StarCars,StarCars / StarCars Solar / 2019,WS63EHWK63CKR4PJ,Not registered,63CKR4PJ,63,StarCars Solar,2019,14/08/2019,11/02/2022,StarCars Nebula Plant,StarCars Galaxy Motors,DE
dealer_1,plant_17179869185,StarCars,StarCars / StarCars Black Hole / 2019,ZAJDCMVZSNFAX8XT,Not registered,SNFAX8XT,SN,StarCars Black Hole,2019,22/02/2019,15/12/2021,StarCars Nebula Plant,StarCars Stellar Auto,UK
dealer_1,plant_17179869185,StarCars,StarCars / StarCars Comet / 2019,NGQFZJLWBAOQVORR,Not registered,BAOQVORR,BA,StarCars Comet,2019,24/01/2019,28/06/2020,StarCars Nebula Plant,StarCars Stellar Auto,UK
dealer_8589934593,plant_8589934593,StarCars,StarCars / StarCars Black Hole / 2019,RJS0E8HEBBXBSX19,Not registered,BBXBSX19,BB,StarCars Black Hole,2019,19/05/2019,01/01/2022,StarCars Galaxy Works,StarCars Nebula Motors,AT
dealer_8589934592,plant_17179869184,StarCars,StarCars / StarCars Orion / 2019,BIOCFAS7GDYLFKUJ,Registered,GDYLFKUJ,GD,StarCars Orion,2019,29/01/2019,07/11/2020,StarCars Orion Manufacturing,StarCars Cosmic Cars,CA
dealer_8589934592,plant_1,StarCars,StarCars / StarCars Comet / 2020,ZK8OYO65VVRHNO5U,Not registered,VVRHNO5U,VV,StarCars Comet,2020,30/06/2020,13/06/2021,StarCars Comet Factory,StarCars Cosmic Cars,CA
dealer_8589934593,plant_8589934593,StarCars,StarCars / StarCars Lunar / 2019,U7NRW051M3SZENBG,Not registered,M3SZENBG,M3,StarCars Lunar,2019,03/07/2019,19/01/2022,StarCars Galaxy Works,StarCars Nebula Motors,AT
dealer_8589934594,plant_25769803777,StarCars,StarCars / StarCars Nebula / 2020,UY2PMR0YRZMMALWU,Not registered,RZMMALWU,RZ,StarCars Nebula,2020,08/12/2020,03/02/2021,StarCars Celestial Assembly,StarCars Orion Auto,CH
dealer_1,plant_8589934592,StarCars,StarCars / StarCars Celestial / 2018,F32S1WMTC2IKF06C,Not registered,C2IKF06C,C2,StarCars Celestial,2018,11/05/2018,07/08/2018,StarCars Meteor Assembly,StarCars Stellar Auto,UK
dealer_8589934592,plant_25769803777,StarCars,StarCars / StarCars Galaxy / 2018,RR6GI4JGHPJVQE1P,Not registered,HPJVQE1P,HP,StarCars Galaxy,2018,30/06/2018,18/03/2019,StarCars Celestial Assembly,StarCars Cosmic Cars,CA
dealer_8589934594,plant_8589934592,StarCars,StarCars / StarCars Lunar / 2020,Y5UUNJXJWORIBAID,Not registered,WORIBAID,WO,StarCars Lunar,2020,22/10/2020,10/02/2023,StarCars Meteor Assembly,StarCars Orion Auto,CH
dealer_8589934593,plant_8589934592,StarCars,StarCars / StarCars Black Hole / 2018,L2ZK7VYVZYMGGD1U,Not registered,ZYMGGD1U,ZY,StarCars Black Hole,2018,04/12/2018,21/07/2022,StarCars Meteor Assembly,StarCars Nebula Motors,AT
dealer_8589934592,plant_8589934592,StarCars,StarCars / StarCars Black Hole / 2020,OP9MUFCCCR8WO4R0,Not registered,CR8WO4R0,CR,StarCars Black Hole,2020,22/11/2020,12/09/2021,StarCars Meteor Assembly,StarCars Cosmic Cars,CA
dealer_8589934594,plant_8589934592,StarCars,StarCars / StarCars Celestial / 2019,TVRWQE2LBHMLDWYV,Not registered,BHMLDWYV,BH,StarCars Celestial,2019,20/05/2019,21/01/2023,StarCars Meteor Assembly,StarCars Orion Auto,CH
dealer_8589934594,plant_0,StarCars,StarCars / StarCars Orion / 2018,84MHPPFBZZTTN6RI,Registered,ZZTTN6RI,ZZ,StarCars Orion,2018,26/09/2018,13/08/2019,StarCars Nova Plant,StarCars Orion Auto,CH
dealer_8589934593,plant_8589934593,StarCars,StarCars / StarCars Eclipse / 2020,TTQ2OGFZTDEANH6S,Registered,TDEANH6S,TD,StarCars Eclipse,2020,23/06/2020,13/09/2021,StarCars Galaxy Works,StarCars Nebula Motors,AT
dealer_8589934594,plant_8589934593,StarCars,StarCars / StarCars Stellar / 2019,ALJR5C4OKZLRZNG7,Not registered,KZLRZNG7,KZ,StarCars Stellar,2019,27/05/2019,22/04/2022,StarCars Galaxy Works,StarCars Orion Auto,CH
dealer_8589934592,plant_25769803776,StarCars,StarCars / StarCars Supernova / 2020,URA7MEELP8HF6B7W,Registered,P8HF6B7W,P8,StarCars Supernova,2020,12/10/2020,17/07/2022,StarCars Stellar Factory,StarCars Cosmic Cars,CA
dealer_8589934594,plant_1,StarCars,StarCars / StarCars Lunar / 2020,KXDWLSLXXX7PRHTT,Registered,XX7PRHTT,XX,StarCars Lunar,2020,24/04/2020,14/03/2022,StarCars Comet Factory,StarCars Orion Auto,CH
dealer_8589934594,plant_8589934593,StarCars,StarCars / StarCars Meteor / 2019,3VCO3NFHSK7N9MRU,Not registered,SK7N9MRU,SK,StarCars Meteor,2019,03/07/2019,06/05/2020,StarCars Galaxy Works,StarCars Orion Auto,CH
